action_lable,python_signal,matlable_signal,,,,Datetime,matlable_signal,
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/5/18 9:15,2018/5/18 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/5/21 9:45,2018/5/21 9:45,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/5/25 9:15,2018/5/25 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/5/28 9:20,2018/5/28 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/5/29 9:15,2018/5/29 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/5/30 9:15,2018/5/30 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/5/31 9:15,2018/5/31 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/6/1 9:15,2018/6/1 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/6/4 9:15,2018/6/4 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/6/5 9:15,2018/6/5 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/6/6 9:15,2018/6/6 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/6/7 9:15,2018/6/7 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/6/12 9:55,2018/6/12 9:55,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/6/13 10:55,2018/6/13 10:55,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/6/20 13:05,2018/6/20 13:05,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/6/21 9:15,2018/6/21 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/6/25 9:15,2018/6/25 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/6/27 10:35,2018/6/27 10:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/2 9:15,2018/7/2 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/7/3 9:15,2018/7/3 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/4 9:15,2018/7/4 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/7/5 9:15,2018/7/5 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/6 9:15,2018/7/6 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/7/9 9:15,2018/7/9 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/10 9:20,2018/7/10 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/7/11 9:15,2018/7/11 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/12 13:05,2018/7/12 13:05,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/7/13 9:45,2018/7/13 9:45,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/18 14:45,2018/7/18 14:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/7/19 9:20,2018/7/19 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/20 13:10,2018/7/20 13:10,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/7/23 9:15,2018/7/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/7/24 9:15,2018/7/24 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/7/25 14:45,2018/7/25 14:45,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/2 13:50,2018/8/2 13:50,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/8/3 13:45,2018/8/3 13:45,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/6 14:45,2018/8/6 14:45,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/8/7 13:20,2018/8/7 13:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/8 9:15,2018/8/8 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/8/9 9:15,2018/8/9 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/10 9:15,2018/8/10 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2018/8/13 9:15,2018/8/13 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/14 9:15,2018/8/14 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/8/15 9:20,2018/8/15 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/16 9:15,2018/8/16 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/8/17 9:15,2018/8/17 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/20 9:15,2018/8/20 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/8/21 10:15,2018/8/21 10:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/22 14:55,2018/8/22 14:55,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/8/23 9:20,2018/8/23 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/24 9:15,2018/8/24 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/8/27 9:15,2018/8/27 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/8/28 9:20,2018/8/28 9:20,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/8/29 9:20,2018/8/29 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/3 13:45,2018/9/3 13:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/9/4 13:25,2018/9/4 13:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/5 15:00,2018/9/5 15:00,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/9/7 13:45,2018/9/7 13:45,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/10 13:10,2018/9/10 13:10,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/9/11 9:20,2018/9/11 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/12 9:15,2018/9/12 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/9/13 13:40,2018/9/13 13:40,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/18 14:05,2018/9/18 14:05,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/9/19 9:20,2018/9/19 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/9/20 9:15,2018/9/20 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/9/21 9:15,2018/9/21 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/8 9:25,2018/10/8 9:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/10/9 9:50,2018/10/9 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/10 9:15,2018/10/10 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/10/11 9:15,2018/10/11 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/16 9:15,2018/10/16 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/10/17 9:20,2018/10/17 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/18 9:15,2018/10/18 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/10/19 9:15,2018/10/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/22 9:15,2018/10/22 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/10/23 9:15,2018/10/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/26 9:20,2018/10/26 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/10/29 9:50,2018/10/29 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/10/30 13:05,2018/10/30 13:05,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/10/31 13:20,2018/10/31 13:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/1 11:20,2018/11/1 11:20,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/11/2 13:05,2018/11/2 13:05,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/12 13:05,2018/11/12 13:05,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/11/13 9:20,2018/11/13 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/14 9:20,2018/11/14 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/11/16 9:15,2018/11/16 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/19 14:30,2018/11/19 14:30,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/11/20 9:15,2018/11/20 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/21 9:15,2018/11/21 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/11/22 9:50,2018/11/22 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/23 9:15,2018/11/23 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/11/26 9:15,2018/11/26 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/27 9:15,2018/11/27 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2018/11/28 9:30,2018/11/28 9:30,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/11/30 13:20,2018/11/30 13:20,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/12/3 9:15,2018/12/3 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/5 14:10,2018/12/5 14:10,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/12/6 9:25,2018/12/6 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/7 9:25,2018/12/7 9:25,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/12/10 9:15,2018/12/10 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/13 9:20,2018/12/13 9:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/12/14 9:15,2018/12/14 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/17 9:15,2018/12/17 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/12/18 9:15,2018/12/18 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/21 15:00,2018/12/21 15:00,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2018/12/24 14:45,2018/12/24 14:45,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2018/12/27 9:20,2018/12/27 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2018/12/28 9:15,2018/12/28 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/4 9:55,2019/1/4 9:55,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2019/1/7 9:15,2019/1/7 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/9 9:30,2019/1/9 9:30,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/1/10 13:00,2019/1/10 13:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/11 9:15,2019/1/11 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/1/14 9:15,2019/1/14 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/15 9:15,2019/1/15 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/1/16 9:15,2019/1/16 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/18 9:25,2019/1/18 9:25,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2019/1/21 9:15,2019/1/21 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/22 9:15,2019/1/22 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/1/23 9:15,2019/1/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/24 9:15,2019/1/24 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/1/25 9:15,2019/1/25 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/28 9:35,2019/1/28 9:35,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/1/29 9:15,2019/1/29 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/1/31 14:55,2019/1/31 14:55,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/2/11 11:05,2019/2/11 11:05,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/12 14:45,2019/2/12 14:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/2/13 13:35,2019/2/13 13:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/14 11:15,2019/2/14 11:15,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/2/15 13:10,2019/2/15 13:10,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/18 9:15,2019/2/18 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/2/19 9:15,2019/2/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/21 13:20,2019/2/21 13:20,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2019/2/22 10:00,2019/2/22 10:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/25 9:15,2019/2/25 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/2/26 9:15,2019/2/26 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/2/27 9:15,2019/2/27 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/2/28 9:15,2019/2/28 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/1 9:15,2019/3/1 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/3/4 9:15,2019/3/4 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/5 9:20,2019/3/5 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/3/6 10:00,2019/3/6 10:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/11 9:15,2019/3/11 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/3/12 9:15,2019/3/12 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/14 9:45,2019/3/14 9:45,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/3/15 9:15,2019/3/15 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/18 9:20,2019/3/18 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/3/19 9:50,2019/3/19 9:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/20 9:15,2019/3/20 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/3/21 9:15,2019/3/21 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/3/27 14:15,2019/3/27 14:15,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/3/29 13:05,2019/3/29 13:05,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/1 9:15,2019/4/1 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/2 9:15,2019/4/2 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/3 13:00,2019/4/3 13:00,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/4 9:15,2019/4/4 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/8 9:15,2019/4/8 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2019/4/9 9:20,2019/4/9 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/10 9:15,2019/4/10 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2019/4/11 9:30,2019/4/11 9:30,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/12 13:10,2019/4/12 13:10,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/15 9:15,2019/4/15 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/16 11:25,2019/4/16 11:25,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/17 9:55,2019/4/17 9:55,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/22 9:15,2019/4/22 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/23 9:15,2019/4/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/24 13:10,2019/4/24 13:10,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/4/25 9:25,2019/4/25 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/26 9:15,2019/4/26 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2019/4/29 9:25,2019/4/29 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/4/30 9:15,2019/4/30 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/5/6 9:15,2019/5/6 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/7 9:15,2019/5/7 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/5/8 9:25,2019/5/8 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/10 9:20,2019/5/10 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/5/13 9:15,2019/5/13 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/14 13:10,2019/5/14 13:10,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/5/15 9:25,2019/5/15 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/17 9:15,2019/5/17 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/5/20 10:20,2019/5/20 10:20,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/21 9:45,2019/5/21 9:45,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/5/22 9:15,2019/5/22 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/27 9:15,2019/5/27 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/5/28 9:15,2019/5/28 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/5/31 10:00,2019/5/31 10:00,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/6/3 9:15,2019/6/3 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/6/10 9:15,2019/6/10 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/6/11 9:20,2019/6/11 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/6/18 10:25,2019/6/18 10:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/6/19 9:15,2019/6/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/6/21 9:15,2019/6/21 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2019/6/25 10:35,2019/6/25 10:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/6/26 9:25,2019/6/26 9:25,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2019/6/27 14:50,2019/6/27 14:50,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/7/1 9:15,2019/7/1 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2019/7/2 9:20,2019/7/2 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2019/7/4 9:35,2019/7/4 9:35,FALSE
